id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,urls/0,replies_count,retweets_count,likes_count,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,retweet_date,translate,trans_src,trans_dest,photos/0,hashtags/0,hashtags/1,photos/1,photos/2,photos/3,hashtags/2,hashtags/3,hashtags/4,reply_to/0/screen_name,reply_to/0/name,reply_to/0/id,hashtags/5,mentions/0/screen_name,mentions/0/name,mentions/0/id,mentions/1/screen_name,mentions/1/name,mentions/1/id,mentions/2/screen_name,mentions/2/name,mentions/2/id,mentions/3/screen_name,mentions/3/name,mentions/3/id,mentions/4/screen_name,mentions/4/name,mentions/4/id,mentions/5/screen_name,mentions/5/name,mentions/5/id,mentions/6/screen_name,mentions/6/name,mentions/6/id,mentions/7/screen_name,mentions/7/name,mentions/7/id,mentions/8/screen_name,mentions/8/name,mentions/8/id,reply_to/1/screen_name,reply_to/1/name,reply_to/1/id,reply_to/2/screen_name,reply_to/2/name,reply_to/2/id,reply_to/3/screen_name,reply_to/3/name,reply_to/3/id,reply_to/4/screen_name,reply_to/4/name,reply_to/4/id,reply_to/5/screen_name,reply_to/5/name,reply_to/5/id,reply_to/6/screen_name,reply_to/6/name,reply_to/6/id,reply_to/7/screen_name,reply_to/7/name,reply_to/7/id,reply_to/8/screen_name,reply_to/8/name,reply_to/8/id,reply_to/9/screen_name,reply_to/9/name,reply_to/9/id,reply_to/10/screen_name,reply_to/10/name,reply_to/10/id,hashtags/6,urls/1,hashtags/7
1363918007660126200,1363918007660126209,2021-02-23 01:26:08 SE Asia Standard Time,2021-02-23,01:26:08,+0700,56891990,ikhwan2a,Ikhwan Nur,,"Ridwan Kamil Sebut PPKM Mikro Bisa Kendalikan Kasus Corona di Jawa Barat – Ridwan Kamil mengatakan, kasus penyebaran Covid-19 di wilayahnya relatif terkendali deng...  https://t.co/4jaZNPTdCr  https://t.co/6eFeKO1Otk",in,https://nasional.tempo.co/read/1435403/ridwan-kamil-sebut-ppkm-mikro-bisa-kendalikan-kasus-corona-di-jawa-barat,0,0,0,https://twitter.com/ikhwan2a/status/1363918007660126209,false,,1,https://pbs.twimg.com/media/Eu2cM0uXYAE5iN_.jpg,,,,,,,,,,,https://pbs.twimg.com/media/Eu2cM0uXYAE5iN_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363915716882141200,1363915716882141187,2021-02-23 01:17:01 SE Asia Standard Time,2021-02-23,01:17:01,+0700,1320706490861117400,sek_cly,SekClyRestabdg,,Pengontrolan Posko PPKM Skala Mikro tingkat Desa Kecamatan Cileunyi dalam rangka penanggulangan dan pengendalian penyebaran Covid-19 . . . #menujupolriyangpresisi  #bersamacegahcovid19 #pakaimasker #ProkesUntukKitaSemua #polrestabandungmantap  #polsekcileunyirestabdg  https://t.co/FCayqbs9go,in,,4,4,8,https://twitter.com/Sek_Cly/status/1363915716882141187,false,,1,https://pbs.twimg.com/media/Eu2aG1CUUAgE9jb.jpg,,,,,,,,,,,https://pbs.twimg.com/media/Eu2aG1CUUAgE9jb.jpg,menujupolriyangpresisi,bersamacegahcovid19,https://pbs.twimg.com/media/Eu2aHGuUcAAwiki.jpg,https://pbs.twimg.com/media/Eu2aHXsVEAQp00n.jpg,,pakaimasker,prokesuntukkitasemua,polrestabandungmantap,,,,polsekcileunyirestabdg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363912316157194200,1363912316157194240,2021-02-23 01:03:31 SE Asia Standard Time,2021-02-23,01:03:31,+0700,238091066,investorid,Investor Daily,,Kemdes  PDTT Pantau Penerapan PPKM Mikro di 22.000 Desa  https://t.co/csxp9WWH0X  https://t.co/ufmdwT7ku7,in,http://brt.st/74EK,0,0,0,https://twitter.com/InvestorID/status/1363912316157194240,false,,1,https://pbs.twimg.com/media/Eu2XBVWVcAAb_Px.jpg,,,,,,,,,,,https://pbs.twimg.com/media/Eu2XBVWVcAAb_Px.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363908913083523000,1363908913083523079,2021-02-23 00:49:59 SE Asia Standard Time,2021-02-23,00:49:59,+0700,111836874,kabarwarga,KABARWARGA.COM FOR SALE!!,,"Pemkot klaim PPKM skala mikro turunkan kasus COVID-19 di Madiun |   Yang positif menurun dan yang sembuh naik. Madiun (ANTARA) – Pemerintah Kota Madiun, Jawa Timur mengklaim penerapan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) skala mikro telah berdampak secara  https://t.co/IMaUaaqXyi",in,,0,0,0,https://twitter.com/kabarwarga/status/1363908913083523079,false,,1,https://pbs.twimg.com/media/Eu2T7XSUUAMLYgK.jpg,,,,,,,,,,,https://pbs.twimg.com/media/Eu2T7XSUUAMLYgK.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363903654483292200,1363903654483292161,2021-02-23 00:29:05 SE Asia Standard Time,2021-02-23,00:29:05,+0700,1330739674671763500,11kerjo,Koramil 11/kerjo,,Danramil 11/Kerjo Kapten Bambang Tyas Bersama Kapolsek Kerjo melaksanakan Pemantauan dan pengecekan kesiapan Posko PPKM Mikro di Desa Tamansari Kec Kerjo.  Senin 22/02/2021  https://t.co/ANZSvu2mVl,in,,0,0,0,https://twitter.com/11Kerjo/status/1363903654483292161,false,,1,https://pbs.twimg.com/media/Eu2PI5hVoAEULp5.jpg,,,,,,,,,,,https://pbs.twimg.com/media/Eu2PI5hVoAEULp5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363902423396462600,1363902423396462592,2021-02-23 00:24:12 SE Asia Standard Time,2021-02-23,00:24:12,+0700,56891990,ikhwan2a,Ikhwan Nur,,"Ridwan Kamil Sebut PPKM Mikro Bisa Kendalikan Kasus Corona di Jawa Barat – Ridwan Kamil mengatakan, kasus penyebaran Covid-19 di wilayahnya relatif terkendali deng...  https://t.co/4jaZNPTdCr  https://t.co/Zcv9Usez1m",in,https://nasional.tempo.co/read/1435403/ridwan-kamil-sebut-ppkm-mikro-bisa-kendalikan-kasus-corona-di-jawa-barat,0,0,0,https://twitter.com/ikhwan2a/status/1363902423396462592,false,,1,https://pbs.twimg.com/media/Eu2OBsTXMAEptFN.jpg,,,,,,,,,,,https://pbs.twimg.com/media/Eu2OBsTXMAEptFN.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363901257665028000,1363901257665028100,2021-02-23 00:19:34 SE Asia Standard Time,2021-02-23,00:19:34,+0700,1330739674671763500,11kerjo,Koramil 11/kerjo,,"Koptu Eko tri handoko Babinsa Desa Karangrejo Koramil 11/Kerjo menghadiri rapat rutin mingguan diaula balai desa, yang di pimpin kepala Desa Karangrejo bpk fakhrudin koordinasi tentang kegiatan kewilayahan dan membahas posko PPKM Mikro.  Senin 22/02/2021  https://t.co/hFfPQyHlTu",in,,0,0,0,https://twitter.com/11Kerjo/status/1363901257665028100,false,,1,https://pbs.twimg.com/media/Eu2M9xJVIAMRga5.jpg,,,,,,,,,,,https://pbs.twimg.com/media/Eu2M9xJVIAMRga5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363901204065972200,1363901204065972225,2021-02-23 00:19:21 SE Asia Standard Time,2021-02-23,00:19:21,+0700,1944592254,humaskbarum,Humas Polsek Kebonarum,,Bhabinkamtibmas desa Ngrundul dampingi Camat Kebonarum giat sambang dan pengecekan Posko PPKM Mikro Covid 19 desa Ngrundul Disiplin Prokes 5M kunci utama lawan Corona  https://t.co/WKAugN5hbf,in,,0,0,0,https://twitter.com/HumasKbarum/status/1363901204065972225,false,,1,https://pbs.twimg.com/media/Eu2M6oXVoAYmy_a.jpg,,,,,,,,,,,https://pbs.twimg.com/media/Eu2M6oXVoAYmy_a.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363900794328686600,1363900794328686592,2021-02-23 00:17:44 SE Asia Standard Time,2021-02-23,00:17:44,+0700,1356692433984127000,ekasilawati2,Eka Silawati,,Ayo Dukung Pelaksanaan Perpanjangan PPKM Mikro #lawancovid19  https://t.co/Z8PFwguc1U,in,,0,0,0,https://twitter.com/EkaSilawati2/status/1363900794328686592,false,,1,https://pbs.twimg.com/media/Eu2MiKbVEAA_IRQ.jpg,,,,,,,,,,,https://pbs.twimg.com/media/Eu2MiKbVEAA_IRQ.jpg,lawancovid19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363900508449038300,1363900508449038336,2021-02-23 00:16:35 SE Asia Standard Time,2021-02-23,00:16:35,+0700,1246716829419966500,polrestamakota,Polresta Malang Kota,,Senin (22/02/2021) Kapolresta Malang Kota bersama Kapolsek Kedungkandang melaksanakan sambang Kampung Tangguh Semeru Kelurahan Arjowinangun dengan memberikan bantuan sembako dan pengecekan Posko PPKM di beberapa RW serta melakukan sosialisasi 5 M dan penerapan PPKM Mikro.  https://t.co/ORcZqcDbKj,in,,0,0,2,https://twitter.com/polrestamakota/status/1363900508449038336,false,,1,https://pbs.twimg.com/media/Eu2LswIVIAA8VOY.png,,,,,,,,,,,https://pbs.twimg.com/media/Eu2LswIVIAA8VOY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
