id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,replies_count,retweets_count,likes_count,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to/0/screen_name,reply_to/0/name,reply_to/0/id,retweet_date,translate,trans_src,trans_dest,hashtags/0,mentions/0/screen_name,mentions/0/name,mentions/0/id,urls/0,photos/0,reply_to/1/screen_name,reply_to/1/name,reply_to/1/id,hashtags/1,mentions/1/screen_name,mentions/1/name,mentions/1/id,mentions/2/screen_name,mentions/2/name,mentions/2/id,mentions/3/screen_name,mentions/3/name,mentions/3/id,mentions/4/screen_name,mentions/4/name,mentions/4/id,mentions/5/screen_name,mentions/5/name,mentions/5/id,mentions/6/screen_name,mentions/6/name,mentions/6/id,mentions/7/screen_name,mentions/7/name,mentions/7/id,urls/1,photos/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,reply_to/2/screen_name,reply_to/2/name,reply_to/2/id,reply_to/3/screen_name,reply_to/3/name,reply_to/3/id,reply_to/4/screen_name,reply_to/4/name,reply_to/4/id
1415965812045717500,1415902713557127172,2021-07-16 16:25:31 SE Asia Standard Time,2021-07-16,16:25:31,+0700,226838378,andijafits,Andi Jafits Luster R,,@irfanachmad1219 PPKM = PAK PRESIDEN KAPAN MUNDUR?,in,0,0,0,https://twitter.com/andijafits/status/1415965812045717505,false,,0,,,,,,,,irfanachmad1219,Fan,1117364243542597632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415965790113697800,1415965790113697799,2021-07-16 16:25:26 SE Asia Standard Time,2021-07-16,16:25:26,+0700,1260472495100002300,jokosudarso3,jokosudarso,,#VaksinPerkuatImunitas PPKM Cegah Penyebaran,in,0,0,0,https://twitter.com/jokosudarso3/status/1415965790113697799,false,https://twitter.com/bogor_caringin/status/1415942622108033029,0,,,,,,,,,,,,,,,vaksinperkuatimunitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415965781939015700,1415965781939015681,2021-07-16 16:25:24 SE Asia Standard Time,2021-07-16,16:25:24,+0700,79089606,dnaprln,aprilian,,"""Pokoknya PSBB selesai gue mau nongkrong sepuasnya."" *tiap liat tempat rame males masuk. **Kemudian PPKM dimulai.  ***Dari zaman PSBB-PPKM gue gak nongkrong dimana-mana.  ****Dan gue berjanji, ""Selesai PPKM gue bakal nongkrong sepuasnya"".",in,0,0,0,https://twitter.com/dnaprln/status/1415965781939015681,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415965776700342300,1415965776700342273,2021-07-16 16:25:23 SE Asia Standard Time,2021-07-16,16:25:23,+0700,39447003,charisshaf,Risa,,"Dibikin overthinking sm PPKM, ngga bisa ke mana2.. ngga bisa peluk kamu 😿😿",in,0,0,0,https://twitter.com/charisshaf/status/1415965776700342273,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415965775232311300,1415965775232311296,2021-07-16 16:25:22 SE Asia Standard Time,2021-07-16,16:25:22,+0700,890837240,voeloenk_,Voeloenk,,"Motor kalo lagi enak banget dipakenya maunya ngegas terus, ga kerasa tau2 115 aja. Ah, sayang lagi ppkm",in,0,0,0,https://twitter.com/voeloenk_/status/1415965775232311296,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415965762976501800,1415965762976501763,2021-07-16 16:25:19 SE Asia Standard Time,2021-07-16,16:25:19,+0700,1220597931180318700,mutiara1277,EndahMutiara1277,,"Dengan adanya Corona yang tidak kunjung selesai. Rakyat kecil yang kena imbasnya..udah lockdown ppkm kurang makan karena ppkm berkerja pun terhenti anak pun bisa kurang gizi, kami menangis hanya bisa pasrah. Tak ada seorang pun yang bisa menolong anak pun gak bisa pulang Krn ppkm",in,0,0,0,https://twitter.com/mutiara1277/status/1415965762976501763,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415965756731183000,1415965756731183104,2021-07-16 16:25:18 SE Asia Standard Time,2021-07-16,16:25:18,+0700,1260472495100002300,jokosudarso3,jokosudarso,,#VaksinPerkuatImunitas PPKM Cegah Penyebaran,in,0,0,0,https://twitter.com/jokosudarso3/status/1415965756731183104,false,https://twitter.com/Martin11725513/status/1415942654378921984,0,,,,,,,,,,,,,,,vaksinperkuatimunitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415965755561025500,1415965359400620032,2021-07-16 16:25:18 SE Asia Standard Time,2021-07-16,16:25:18,+0700,1338242974379995100,jujuchizu,tali,,"@subschfess kalo lgi ppkm dn pandemi gini, offline lebi berisiko",in,0,0,0,https://twitter.com/jujuchizu/status/1415965755561025537,false,,0,,,,,,,,subschfess,FOLLOW @SCHCAMPUS‼️,1244113314398875649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415965750251065300,1415965750251065348,2021-07-16 16:25:16 SE Asia Standard Time,2021-07-16,16:25:16,+0700,983530586508673000,kodimbone,kodimbone,,"Anggota Koramil 1407-14/Libureng Laksanakan patroli PPKM, edukasi dan sosialisasi penerapan prokes kepada masyarakat di pasar tradisional Tanabatue, Kec. Libureng, Kab. Bone. #pendamhasanuddin #kodamhasanuddin #dispenad #dispenadtniad #mabesad #mabestni  https://t.co/K1oHflzJrZ",in,0,0,0,https://twitter.com/kodimbone/status/1415965750251065348,false,,1,https://pbs.twimg.com/media/E6aFTrTUcAcWvuh.jpg,,,,,,,,,,,,,,pendamhasanuddin,,,,,https://pbs.twimg.com/media/E6aFTrTUcAcWvuh.jpg,,,,kodamhasanuddin,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/media/E6aFUdLVgAQZtHe.jpg,dispenad,dispenadtniad,mabesad,mabestni,,,,,,,,,
1415965745587003400,1415965745587003393,2021-07-16 16:25:15 SE Asia Standard Time,2021-07-16,16:25:15,+0700,1152437175587242000,sbyfess,🦈 SUROBOYOFESS 🐊,,Selamat sore korban PPKM -rek Pelarian Pas Kegabutan Mereka 😊,in,0,0,1,https://twitter.com/sbyfess/status/1415965745587003393,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415965737743646700,1415588351545987076,2021-07-16 16:25:13 SE Asia Standard Time,2021-07-16,16:25:13,+0700,1115137423200014300,mochtvrfacker,𝓔𝓵 𝓑𝓪𝓻𝓽𝓸,,@revanheryan08 @ududusx @bangunjam6pagi @AfifFuadS @officialULM Bener banget. Wabah akan terkendali kalo rakyatnya macam di Korea Selatan dan di Jepang yang dapet bantuan pangan saat lockdown sama pemerintah..  PPKM tu istilahnya lockdown yang pemerintahnya gak mau ngeluarin uang buat kasih bantuan ke warganya. Sekalinya ada juga dikorupsi.,in,0,0,0,https://twitter.com/mochtvrfacker/status/1415965737743646723,false,,0,,,,,,,,revanheryan08,supir taxi,1709855797,,,,,,,,,,,ududusx,◡̈,3276523922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bangunjam6pagi,bangun tidur kuterus mandi,993242606,AfifFuadS,Afif Fuad Saidi,787409165593436160,officialULM,Universitas Lambung Mangkurat (ULM),1138639000283955200
1415965736510443500,1415965736510443522,2021-07-16 16:25:13 SE Asia Standard Time,2021-07-16,16:25:13,+0700,1257524295820996600,jooo_then,jonathan_then,,"abis ppkm udahan, lu mau kemana?",in,0,0,0,https://twitter.com/jooo_then/status/1415965736510443522,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
